category_id,name,last_update
1,Action,2006-02-15T04:46:27.000Z
2,Animation,2006-02-15T04:46:27.000Z
3,Children,2006-02-15T04:46:27.000Z
4,Classics,2006-02-15T04:46:27.000Z
5,Comedy,2006-02-15T04:46:27.000Z
6,Documentary,2006-02-15T04:46:27.000Z
7,Drama,2006-02-15T04:46:27.000Z
8,Family,2006-02-15T04:46:27.000Z
9,Foreign,2006-02-15T04:46:27.000Z
10,Games,2006-02-15T04:46:27.000Z
11,Horror,2006-02-15T04:46:27.000Z
12,Music,2006-02-15T04:46:27.000Z
13,New,2006-02-15T04:46:27.000Z
14,Sci-Fi,2006-02-15T04:46:27.000Z
15,Sports,2006-02-15T04:46:27.000Z
16,Travel,2006-02-15T04:46:27.000Z
