film_id,category_id,last_update
1,6,2006-02-15T05:07:09.000Z
2,11,2006-02-15T05:07:09.000Z
3,6,2006-02-15T05:07:09.000Z
4,11,2006-02-15T05:07:09.000Z
5,8,2006-02-15T05:07:09.000Z
6,9,2006-02-15T05:07:09.000Z
7,5,2006-02-15T05:07:09.000Z
8,11,2006-02-15T05:07:09.000Z
9,11,2006-02-15T05:07:09.000Z
10,15,2006-02-15T05:07:09.000Z
11,9,2006-02-15T05:07:09.000Z
12,12,2006-02-15T05:07:09.000Z
13,11,2006-02-15T05:07:09.000Z
14,4,2006-02-15T05:07:09.000Z
15,9,2006-02-15T05:07:09.000Z
16,9,2006-02-15T05:07:09.000Z
17,12,2006-02-15T05:07:09.000Z
18,2,2006-02-15T05:07:09.000Z
19,1,2006-02-15T05:07:09.000Z
20,12,2006-02-15T05:07:09.000Z
21,1,2006-02-15T05:07:09.000Z
22,13,2006-02-15T05:07:09.000Z
23,2,2006-02-15T05:07:09.000Z
24,11,2006-02-15T05:07:09.000Z
25,13,2006-02-15T05:07:09.000Z
26,14,2006-02-15T05:07:09.000Z
27,15,2006-02-15T05:07:09.000Z
28,5,2006-02-15T05:07:09.000Z
29,1,2006-02-15T05:07:09.000Z
30,11,2006-02-15T05:07:09.000Z
31,8,2006-02-15T05:07:09.000Z
32,13,2006-02-15T05:07:09.000Z
33,7,2006-02-15T05:07:09.000Z
34,11,2006-02-15T05:07:09.000Z
35,11,2006-02-15T05:07:09.000Z
36,2,2006-02-15T05:07:09.000Z
37,4,2006-02-15T05:07:09.000Z
38,1,2006-02-15T05:07:09.000Z
39,14,2006-02-15T05:07:09.000Z
40,6,2006-02-15T05:07:09.000Z
41,16,2006-02-15T05:07:09.000Z
42,15,2006-02-15T05:07:09.000Z
43,8,2006-02-15T05:07:09.000Z
44,14,2006-02-15T05:07:09.000Z
45,13,2006-02-15T05:07:09.000Z
46,10,2006-02-15T05:07:09.000Z
47,9,2006-02-15T05:07:09.000Z
48,3,2006-02-15T05:07:09.000Z
49,14,2006-02-15T05:07:09.000Z
50,8,2006-02-15T05:07:09.000Z
51,12,2006-02-15T05:07:09.000Z
52,9,2006-02-15T05:07:09.000Z
53,8,2006-02-15T05:07:09.000Z
54,12,2006-02-15T05:07:09.000Z
55,14,2006-02-15T05:07:09.000Z
56,1,2006-02-15T05:07:09.000Z
57,16,2006-02-15T05:07:09.000Z
58,6,2006-02-15T05:07:09.000Z
59,3,2006-02-15T05:07:09.000Z
60,4,2006-02-15T05:07:09.000Z
61,7,2006-02-15T05:07:09.000Z
62,6,2006-02-15T05:07:09.000Z
63,8,2006-02-15T05:07:09.000Z
64,7,2006-02-15T05:07:09.000Z
65,11,2006-02-15T05:07:09.000Z
66,3,2006-02-15T05:07:09.000Z
67,1,2006-02-15T05:07:09.000Z
68,3,2006-02-15T05:07:09.000Z
69,14,2006-02-15T05:07:09.000Z
70,2,2006-02-15T05:07:09.000Z
71,8,2006-02-15T05:07:09.000Z
72,6,2006-02-15T05:07:09.000Z
73,14,2006-02-15T05:07:09.000Z
74,12,2006-02-15T05:07:09.000Z
75,16,2006-02-15T05:07:09.000Z
76,12,2006-02-15T05:07:09.000Z
77,13,2006-02-15T05:07:09.000Z
78,2,2006-02-15T05:07:09.000Z
79,7,2006-02-15T05:07:09.000Z
80,8,2006-02-15T05:07:09.000Z
81,14,2006-02-15T05:07:09.000Z
82,8,2006-02-15T05:07:09.000Z
83,8,2006-02-15T05:07:09.000Z
84,16,2006-02-15T05:07:09.000Z
85,6,2006-02-15T05:07:09.000Z
86,12,2006-02-15T05:07:09.000Z
87,16,2006-02-15T05:07:09.000Z
88,16,2006-02-15T05:07:09.000Z
89,2,2006-02-15T05:07:09.000Z
90,13,2006-02-15T05:07:09.000Z
91,4,2006-02-15T05:07:09.000Z
92,11,2006-02-15T05:07:09.000Z
93,13,2006-02-15T05:07:09.000Z
94,8,2006-02-15T05:07:09.000Z
95,13,2006-02-15T05:07:09.000Z
96,13,2006-02-15T05:07:09.000Z
97,1,2006-02-15T05:07:09.000Z
98,7,2006-02-15T05:07:09.000Z
99,5,2006-02-15T05:07:09.000Z
100,9,2006-02-15T05:07:09.000Z
101,6,2006-02-15T05:07:09.000Z
102,15,2006-02-15T05:07:09.000Z
103,16,2006-02-15T05:07:09.000Z
104,9,2006-02-15T05:07:09.000Z
105,1,2006-02-15T05:07:09.000Z
106,10,2006-02-15T05:07:09.000Z
107,7,2006-02-15T05:07:09.000Z
108,13,2006-02-15T05:07:09.000Z
109,13,2006-02-15T05:07:09.000Z
110,3,2006-02-15T05:07:09.000Z
111,1,2006-02-15T05:07:09.000Z
112,9,2006-02-15T05:07:09.000Z
113,15,2006-02-15T05:07:09.000Z
114,14,2006-02-15T05:07:09.000Z
115,1,2006-02-15T05:07:09.000Z
116,4,2006-02-15T05:07:09.000Z
117,10,2006-02-15T05:07:09.000Z
118,2,2006-02-15T05:07:09.000Z
119,5,2006-02-15T05:07:09.000Z
120,15,2006-02-15T05:07:09.000Z
121,2,2006-02-15T05:07:09.000Z
122,11,2006-02-15T05:07:09.000Z
123,16,2006-02-15T05:07:09.000Z
124,3,2006-02-15T05:07:09.000Z
125,16,2006-02-15T05:07:09.000Z
126,1,2006-02-15T05:07:09.000Z
127,5,2006-02-15T05:07:09.000Z
128,9,2006-02-15T05:07:09.000Z
129,6,2006-02-15T05:07:09.000Z
130,1,2006-02-15T05:07:09.000Z
131,4,2006-02-15T05:07:09.000Z
132,14,2006-02-15T05:07:09.000Z
133,12,2006-02-15T05:07:09.000Z
134,2,2006-02-15T05:07:09.000Z
135,15,2006-02-15T05:07:09.000Z
136,13,2006-02-15T05:07:09.000Z
137,14,2006-02-15T05:07:09.000Z
138,14,2006-02-15T05:07:09.000Z
139,8,2006-02-15T05:07:09.000Z
140,14,2006-02-15T05:07:09.000Z
141,10,2006-02-15T05:07:09.000Z
142,6,2006-02-15T05:07:09.000Z
143,7,2006-02-15T05:07:09.000Z
144,13,2006-02-15T05:07:09.000Z
145,8,2006-02-15T05:07:09.000Z
146,7,2006-02-15T05:07:09.000Z
147,8,2006-02-15T05:07:09.000Z
148,9,2006-02-15T05:07:09.000Z
149,3,2006-02-15T05:07:09.000Z
150,6,2006-02-15T05:07:09.000Z
151,14,2006-02-15T05:07:09.000Z
152,3,2006-02-15T05:07:09.000Z
153,14,2006-02-15T05:07:09.000Z
154,2,2006-02-15T05:07:09.000Z
155,13,2006-02-15T05:07:09.000Z
156,6,2006-02-15T05:07:09.000Z
157,3,2006-02-15T05:07:09.000Z
158,12,2006-02-15T05:07:09.000Z
159,5,2006-02-15T05:07:09.000Z
160,2,2006-02-15T05:07:09.000Z
161,12,2006-02-15T05:07:09.000Z
162,1,2006-02-15T05:07:09.000Z
163,13,2006-02-15T05:07:09.000Z
164,6,2006-02-15T05:07:09.000Z
165,14,2006-02-15T05:07:09.000Z
166,4,2006-02-15T05:07:09.000Z
167,16,2006-02-15T05:07:09.000Z
168,3,2006-02-15T05:07:09.000Z
169,16,2006-02-15T05:07:09.000Z
170,9,2006-02-15T05:07:09.000Z
171,11,2006-02-15T05:07:09.000Z
172,7,2006-02-15T05:07:09.000Z
173,7,2006-02-15T05:07:09.000Z
174,12,2006-02-15T05:07:09.000Z
175,8,2006-02-15T05:07:09.000Z
176,15,2006-02-15T05:07:09.000Z
