inventory_id,film_id,store_id,last_update
1,1,1,2006-02-15T05:09:17.000Z
2,1,1,2006-02-15T05:09:17.000Z
3,1,1,2006-02-15T05:09:17.000Z
4,1,1,2006-02-15T05:09:17.000Z
5,1,2,2006-02-15T05:09:17.000Z
6,1,2,2006-02-15T05:09:17.000Z
7,1,2,2006-02-15T05:09:17.000Z
8,1,2,2006-02-15T05:09:17.000Z
9,2,2,2006-02-15T05:09:17.000Z
10,2,2,2006-02-15T05:09:17.000Z
11,2,2,2006-02-15T05:09:17.000Z
12,3,2,2006-02-15T05:09:17.000Z
13,3,2,2006-02-15T05:09:17.000Z
14,3,2,2006-02-15T05:09:17.000Z
15,3,2,2006-02-15T05:09:17.000Z
16,4,1,2006-02-15T05:09:17.000Z
17,4,1,2006-02-15T05:09:17.000Z
18,4,1,2006-02-15T05:09:17.000Z
19,4,1,2006-02-15T05:09:17.000Z
20,4,2,2006-02-15T05:09:17.000Z
21,4,2,2006-02-15T05:09:17.000Z
22,4,2,2006-02-15T05:09:17.000Z
23,5,2,2006-02-15T05:09:17.000Z
24,5,2,2006-02-15T05:09:17.000Z
25,5,2,2006-02-15T05:09:17.000Z
26,6,1,2006-02-15T05:09:17.000Z
27,6,1,2006-02-15T05:09:17.000Z
28,6,1,2006-02-15T05:09:17.000Z
29,6,2,2006-02-15T05:09:17.000Z
30,6,2,2006-02-15T05:09:17.000Z
31,6,2,2006-02-15T05:09:17.000Z
32,7,1,2006-02-15T05:09:17.000Z
33,7,1,2006-02-15T05:09:17.000Z
34,7,2,2006-02-15T05:09:17.000Z
35,7,2,2006-02-15T05:09:17.000Z
36,7,2,2006-02-15T05:09:17.000Z
37,8,2,2006-02-15T05:09:17.000Z
38,8,2,2006-02-15T05:09:17.000Z
39,8,2,2006-02-15T05:09:17.000Z
40,8,2,2006-02-15T05:09:17.000Z
41,9,1,2006-02-15T05:09:17.000Z
42,9,1,2006-02-15T05:09:17.000Z
43,9,1,2006-02-15T05:09:17.000Z
44,9,2,2006-02-15T05:09:17.000Z
45,9,2,2006-02-15T05:09:17.000Z
46,10,1,2006-02-15T05:09:17.000Z
47,10,1,2006-02-15T05:09:17.000Z
48,10,1,2006-02-15T05:09:17.000Z
49,10,1,2006-02-15T05:09:17.000Z
50,10,2,2006-02-15T05:09:17.000Z
51,10,2,2006-02-15T05:09:17.000Z
52,10,2,2006-02-15T05:09:17.000Z
53,11,1,2006-02-15T05:09:17.000Z
54,11,1,2006-02-15T05:09:17.000Z
55,11,1,2006-02-15T05:09:17.000Z
56,11,1,2006-02-15T05:09:17.000Z
57,11,2,2006-02-15T05:09:17.000Z
58,11,2,2006-02-15T05:09:17.000Z
59,11,2,2006-02-15T05:09:17.000Z
60,12,1,2006-02-15T05:09:17.000Z
61,12,1,2006-02-15T05:09:17.000Z
62,12,1,2006-02-15T05:09:17.000Z
63,12,2,2006-02-15T05:09:17.000Z
64,12,2,2006-02-15T05:09:17.000Z
65,12,2,2006-02-15T05:09:17.000Z
66,12,2,2006-02-15T05:09:17.000Z
67,13,2,2006-02-15T05:09:17.000Z
68,13,2,2006-02-15T05:09:17.000Z
69,13,2,2006-02-15T05:09:17.000Z
70,13,2,2006-02-15T05:09:17.000Z
71,15,1,2006-02-15T05:09:17.000Z
72,15,1,2006-02-15T05:09:17.000Z
73,15,2,2006-02-15T05:09:17.000Z
74,15,2,2006-02-15T05:09:17.000Z
75,15,2,2006-02-15T05:09:17.000Z
76,15,2,2006-02-15T05:09:17.000Z
77,16,1,2006-02-15T05:09:17.000Z
78,16,1,2006-02-15T05:09:17.000Z
79,16,2,2006-02-15T05:09:17.000Z
80,16,2,2006-02-15T05:09:17.000Z
81,17,1,2006-02-15T05:09:17.000Z
82,17,1,2006-02-15T05:09:17.000Z
83,17,1,2006-02-15T05:09:17.000Z
84,17,2,2006-02-15T05:09:17.000Z
85,17,2,2006-02-15T05:09:17.000Z
86,17,2,2006-02-15T05:09:17.000Z
87,18,1,2006-02-15T05:09:17.000Z
88,18,1,2006-02-15T05:09:17.000Z
89,18,1,2006-02-15T05:09:17.000Z
90,18,2,2006-02-15T05:09:17.000Z
91,18,2,2006-02-15T05:09:17.000Z
92,18,2,2006-02-15T05:09:17.000Z
93,19,1,2006-02-15T05:09:17.000Z
94,19,1,2006-02-15T05:09:17.000Z
95,19,1,2006-02-15T05:09:17.000Z
96,19,1,2006-02-15T05:09:17.000Z
97,19,2,2006-02-15T05:09:17.000Z
98,19,2,2006-02-15T05:09:17.000Z
99,20,1,2006-02-15T05:09:17.000Z
100,20,1,2006-02-15T05:09:17.000Z
101,20,1,2006-02-15T05:09:17.000Z
102,21,1,2006-02-15T05:09:17.000Z
103,21,1,2006-02-15T05:09:17.000Z
104,21,2,2006-02-15T05:09:17.000Z
105,21,2,2006-02-15T05:09:17.000Z
106,21,2,2006-02-15T05:09:17.000Z
107,21,2,2006-02-15T05:09:17.000Z
108,22,1,2006-02-15T05:09:17.000Z
109,22,1,2006-02-15T05:09:17.000Z
110,22,1,2006-02-15T05:09:17.000Z
111,22,1,2006-02-15T05:09:17.000Z
112,22,2,2006-02-15T05:09:17.000Z
113,22,2,2006-02-15T05:09:17.000Z
114,22,2,2006-02-15T05:09:17.000Z
115,23,1,2006-02-15T05:09:17.000Z
116,23,1,2006-02-15T05:09:17.000Z
117,23,1,2006-02-15T05:09:17.000Z
118,23,2,2006-02-15T05:09:17.000Z
119,23,2,2006-02-15T05:09:17.000Z
120,24,1,2006-02-15T05:09:17.000Z
121,24,1,2006-02-15T05:09:17.000Z
122,24,1,2006-02-15T05:09:17.000Z
123,24,1,2006-02-15T05:09:17.000Z
124,25,1,2006-02-15T05:09:17.000Z
125,25,1,2006-02-15T05:09:17.000Z
126,25,1,2006-02-15T05:09:17.000Z
127,25,1,2006-02-15T05:09:17.000Z
128,25,2,2006-02-15T05:09:17.000Z
129,25,2,2006-02-15T05:09:17.000Z
130,26,1,2006-02-15T05:09:17.000Z
131,26,1,2006-02-15T05:09:17.000Z
132,26,2,2006-02-15T05:09:17.000Z
133,26,2,2006-02-15T05:09:17.000Z
134,26,2,2006-02-15T05:09:17.000Z
135,27,1,2006-02-15T05:09:17.000Z
136,27,1,2006-02-15T05:09:17.000Z
137,27,1,2006-02-15T05:09:17.000Z
138,27,1,2006-02-15T05:09:17.000Z
139,28,1,2006-02-15T05:09:17.000Z
140,28,1,2006-02-15T05:09:17.000Z
141,28,1,2006-02-15T05:09:17.000Z
142,29,1,2006-02-15T05:09:17.000Z
143,29,1,2006-02-15T05:09:17.000Z
144,30,1,2006-02-15T05:09:17.000Z
145,30,1,2006-02-15T05:09:17.000Z
146,31,1,2006-02-15T05:09:17.000Z
147,31,1,2006-02-15T05:09:17.000Z
148,31,1,2006-02-15T05:09:17.000Z
149,31,1,2006-02-15T05:09:17.000Z
150,31,2,2006-02-15T05:09:17.000Z
151,31,2,2006-02-15T05:09:17.000Z
152,31,2,2006-02-15T05:09:17.000Z
153,31,2,2006-02-15T05:09:17.000Z
154,32,2,2006-02-15T05:09:17.000Z
155,32,2,2006-02-15T05:09:17.000Z
156,34,2,2006-02-15T05:09:17.000Z
157,34,2,2006-02-15T05:09:17.000Z
158,34,2,2006-02-15T05:09:17.000Z
159,34,2,2006-02-15T05:09:17.000Z
160,35,1,2006-02-15T05:09:17.000Z
161,35,1,2006-02-15T05:09:17.000Z
162,35,1,2006-02-15T05:09:17.000Z
163,35,1,2006-02-15T05:09:17.000Z
164,35,2,2006-02-15T05:09:17.000Z
165,35,2,2006-02-15T05:09:17.000Z
166,35,2,2006-02-15T05:09:17.000Z
167,37,1,2006-02-15T05:09:17.000Z
168,37,1,2006-02-15T05:09:17.000Z
169,37,1,2006-02-15T05:09:17.000Z
170,37,1,2006-02-15T05:09:17.000Z
171,37,2,2006-02-15T05:09:17.000Z
172,37,2,2006-02-15T05:09:17.000Z
173,37,2,2006-02-15T05:09:17.000Z
174,39,1,2006-02-15T05:09:17.000Z
175,39,1,2006-02-15T05:09:17.000Z
176,39,1,2006-02-15T05:09:17.000Z
177,39,2,2006-02-15T05:09:17.000Z
178,39,2,2006-02-15T05:09:17.000Z
179,39,2,2006-02-15T05:09:17.000Z
180,39,2,2006-02-15T05:09:17.000Z
181,40,2,2006-02-15T05:09:17.000Z
182,40,2,2006-02-15T05:09:17.000Z
183,40,2,2006-02-15T05:09:17.000Z
184,40,2,2006-02-15T05:09:17.000Z
185,42,2,2006-02-15T05:09:17.000Z
186,42,2,2006-02-15T05:09:17.000Z
187,42,2,2006-02-15T05:09:17.000Z
188,42,2,2006-02-15T05:09:17.000Z
189,43,1,2006-02-15T05:09:17.000Z
190,43,1,2006-02-15T05:09:17.000Z
191,43,1,2006-02-15T05:09:17.000Z
192,43,2,2006-02-15T05:09:17.000Z
193,43,2,2006-02-15T05:09:17.000Z
194,43,2,2006-02-15T05:09:17.000Z
195,43,2,2006-02-15T05:09:17.000Z
196,44,1,2006-02-15T05:09:17.000Z
197,44,1,2006-02-15T05:09:17.000Z
198,44,2,2006-02-15T05:09:17.000Z
199,44,2,2006-02-15T05:09:17.000Z
200,44,2,2006-02-15T05:09:17.000Z
201,45,1,2006-02-15T05:09:17.000Z
202,45,1,2006-02-15T05:09:17.000Z
203,45,1,2006-02-15T05:09:17.000Z
204,45,1,2006-02-15T05:09:17.000Z
205,45,2,2006-02-15T05:09:17.000Z
206,45,2,2006-02-15T05:09:17.000Z
207,46,2,2006-02-15T05:09:17.000Z
208,46,2,2006-02-15T05:09:17.000Z
209,46,2,2006-02-15T05:09:17.000Z
210,47,2,2006-02-15T05:09:17.000Z
211,47,2,2006-02-15T05:09:17.000Z
212,48,1,2006-02-15T05:09:17.000Z
213,48,1,2006-02-15T05:09:17.000Z
214,48,2,2006-02-15T05:09:17.000Z
215,48,2,2006-02-15T05:09:17.000Z
216,49,1,2006-02-15T05:09:17.000Z
217,49,1,2006-02-15T05:09:17.000Z
218,49,1,2006-02-15T05:09:17.000Z
219,49,2,2006-02-15T05:09:17.000Z
220,49,2,2006-02-15T05:09:17.000Z
221,49,2,2006-02-15T05:09:17.000Z
222,50,1,2006-02-15T05:09:17.000Z
223,50,1,2006-02-15T05:09:17.000Z
224,50,1,2006-02-15T05:09:17.000Z
225,50,2,2006-02-15T05:09:17.000Z
226,50,2,2006-02-15T05:09:17.000Z
227,51,1,2006-02-15T05:09:17.000Z
228,51,1,2006-02-15T05:09:17.000Z
229,51,2,2006-02-15T05:09:17.000Z
230,51,2,2006-02-15T05:09:17.000Z
231,51,2,2006-02-15T05:09:17.000Z
232,51,2,2006-02-15T05:09:17.000Z
233,52,2,2006-02-15T05:09:17.000Z
234,52,2,2006-02-15T05:09:17.000Z
235,53,1,2006-02-15T05:09:17.000Z
236,53,1,2006-02-15T05:09:17.000Z
237,54,1,2006-02-15T05:09:17.000Z
238,54,1,2006-02-15T05:09:17.000Z
239,54,1,2006-02-15T05:09:17.000Z
240,54,2,2006-02-15T05:09:17.000Z
241,54,2,2006-02-15T05:09:17.000Z
242,55,1,2006-02-15T05:09:17.000Z
243,55,1,2006-02-15T05:09:17.000Z
244,55,1,2006-02-15T05:09:17.000Z
245,55,1,2006-02-15T05:09:17.000Z
246,55,2,2006-02-15T05:09:17.000Z
247,55,2,2006-02-15T05:09:17.000Z
248,56,1,2006-02-15T05:09:17.000Z
249,56,1,2006-02-15T05:09:17.000Z
250,56,1,2006-02-15T05:09:17.000Z
251,56,2,2006-02-15T05:09:17.000Z
252,56,2,2006-02-15T05:09:17.000Z
253,57,1,2006-02-15T05:09:17.000Z
254,57,1,2006-02-15T05:09:17.000Z
255,57,1,2006-02-15T05:09:17.000Z
256,57,1,2006-02-15T05:09:17.000Z
257,57,2,2006-02-15T05:09:17.000Z
258,57,2,2006-02-15T05:09:17.000Z
259,57,2,2006-02-15T05:09:17.000Z
260,58,2,2006-02-15T05:09:17.000Z
261,58,2,2006-02-15T05:09:17.000Z
262,58,2,2006-02-15T05:09:17.000Z
263,58,2,2006-02-15T05:09:17.000Z
264,59,1,2006-02-15T05:09:17.000Z
265,59,1,2006-02-15T05:09:17.000Z
266,59,1,2006-02-15T05:09:17.000Z
267,59,2,2006-02-15T05:09:17.000Z
268,59,2,2006-02-15T05:09:17.000Z
269,60,1,2006-02-15T05:09:17.000Z
270,60,1,2006-02-15T05:09:17.000Z
271,60,1,2006-02-15T05:09:17.000Z
272,61,1,2006-02-15T05:09:17.000Z
273,61,1,2006-02-15T05:09:17.000Z
274,61,1,2006-02-15T05:09:17.000Z
275,61,1,2006-02-15T05:09:17.000Z
276,61,2,2006-02-15T05:09:17.000Z
277,61,2,2006-02-15T05:09:17.000Z
278,62,2,2006-02-15T05:09:17.000Z
279,62,2,2006-02-15T05:09:17.000Z
280,63,1,2006-02-15T05:09:17.000Z
281,63,1,2006-02-15T05:09:17.000Z
282,63,2,2006-02-15T05:09:17.000Z
283,63,2,2006-02-15T05:09:17.000Z
284,64,2,2006-02-15T05:09:17.000Z
285,64,2,2006-02-15T05:09:17.000Z
286,64,2,2006-02-15T05:09:17.000Z
287,65,2,2006-02-15T05:09:17.000Z
288,65,2,2006-02-15T05:09:17.000Z
289,65,2,2006-02-15T05:09:17.000Z
290,65,2,2006-02-15T05:09:17.000Z
291,66,1,2006-02-15T05:09:17.000Z
292,66,1,2006-02-15T05:09:17.000Z
293,66,1,2006-02-15T05:09:17.000Z
294,67,1,2006-02-15T05:09:17.000Z
295,67,1,2006-02-15T05:09:17.000Z
296,67,2,2006-02-15T05:09:17.000Z
297,67,2,2006-02-15T05:09:17.000Z
298,67,2,2006-02-15T05:09:17.000Z
299,67,2,2006-02-15T05:09:17.000Z
300,68,1,2006-02-15T05:09:17.000Z
301,68,1,2006-02-15T05:09:17.000Z
302,68,2,2006-02-15T05:09:17.000Z
303,68,2,2006-02-15T05:09:17.000Z
304,69,1,2006-02-15T05:09:17.000Z
305,69,1,2006-02-15T05:09:17.000Z
306,69,1,2006-02-15T05:09:17.000Z
307,69,1,2006-02-15T05:09:17.000Z
308,69,2,2006-02-15T05:09:17.000Z
309,69,2,2006-02-15T05:09:17.000Z
310,69,2,2006-02-15T05:09:17.000Z
311,69,2,2006-02-15T05:09:17.000Z
312,70,1,2006-02-15T05:09:17.000Z
313,70,1,2006-02-15T05:09:17.000Z
314,70,2,2006-02-15T05:09:17.000Z
315,70,2,2006-02-15T05:09:17.000Z
316,71,2,2006-02-15T05:09:17.000Z
317,71,2,2006-02-15T05:09:17.000Z
318,71,2,2006-02-15T05:09:17.000Z
319,71,2,2006-02-15T05:09:17.000Z
320,72,1,2006-02-15T05:09:17.000Z
321,72,1,2006-02-15T05:09:17.000Z
322,72,1,2006-02-15T05:09:17.000Z
323,72,1,2006-02-15T05:09:17.000Z
324,72,2,2006-02-15T05:09:17.000Z
325,72,2,2006-02-15T05:09:17.000Z
326,73,1,2006-02-15T05:09:17.000Z
327,73,1,2006-02-15T05:09:17.000Z
328,73,1,2006-02-15T05:09:17.000Z
329,73,1,2006-02-15T05:09:17.000Z
330,73,2,2006-02-15T05:09:17.000Z
331,73,2,2006-02-15T05:09:17.000Z
332,73,2,2006-02-15T05:09:17.000Z
333,73,2,2006-02-15T05:09:17.000Z
334,74,1,2006-02-15T05:09:17.000Z
335,74,1,2006-02-15T05:09:17.000Z
336,74,1,2006-02-15T05:09:17.000Z
337,74,2,2006-02-15T05:09:17.000Z
338,74,2,2006-02-15T05:09:17.000Z
339,75,2,2006-02-15T05:09:17.000Z
340,75,2,2006-02-15T05:09:17.000Z
341,75,2,2006-02-15T05:09:17.000Z
342,76,1,2006-02-15T05:09:17.000Z
343,76,1,2006-02-15T05:09:17.000Z
344,76,1,2006-02-15T05:09:17.000Z
345,77,1,2006-02-15T05:09:17.000Z
346,77,1,2006-02-15T05:09:17.000Z
347,77,1,2006-02-15T05:09:17.000Z
348,77,1,2006-02-15T05:09:17.000Z
349,77,2,2006-02-15T05:09:17.000Z
350,77,2,2006-02-15T05:09:17.000Z
351,78,1,2006-02-15T05:09:17.000Z
352,78,1,2006-02-15T05:09:17.000Z
353,78,1,2006-02-15T05:09:17.000Z
354,78,2,2006-02-15T05:09:17.000Z
355,78,2,2006-02-15T05:09:17.000Z
356,78,2,2006-02-15T05:09:17.000Z
